Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v4-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  containersBuilt: B med/mean 5/6.33; C 5/5.33; paired Δ med/mean 0/-1 (3 pairs)
  standingContainers: B med/mean 5/6.33; C 5/5.33; paired Δ med/mean 0/-1 (3 pairs)
  containerTransfers: B med/mean 191/200.33; C 186/195.67; paired Δ med/mean -5/-4.67 (3 pairs)
  storedUnits: B med/mean 365/340.67; C 367/363.33; paired Δ med/mean +2/+22.67 (3 pairs)
  movementActions: B med/mean 9305/9256.67; C 8197/7902.33; paired Δ med/mean -2102/-1354.33 (3 pairs)
  movementActionShare: B med/mean 69.34/68.61; C 66.23/68.31; paired Δ med/mean -0.69/-0.3 (3 pairs)
  spearsCrafted: B med/mean 4/5.33; C 3/2; paired Δ med/mean -3/-3.33 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 1/1.33; C 1/1; paired Δ med/mean -1/-0.33 (3 pairs)
  recordsCreated: B med/mean 0/0.67; C 2/2; paired Δ med/mean +2/+1.33 (3 pairs)
  functionalInstitutions: B med/mean 13/17.67; C 12/10.67; paired Δ med/mean -4/-7 (3 pairs)
  animalsHunted: B med/mean 1/1.33; C 2/1.67; paired Δ med/mean 0/+0.33 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  predictionAccuracy: B med/mean 27.78/27.04; C 25/21.7; paired Δ med/mean -4.76/-5.33 (3 pairs)
  dehydrationHibernations: B med/mean 107/103.67; C 90/87.33; paired Δ med/mean -18/-16.33 (3 pairs)
  assistedDependentHibernations: B med/mean 32/32; C 23/23; paired Δ med/mean -8/-9 (3 pairs)
  throughMonth: B med/mean 360/360; C 360/360; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 5/5.67; C 3/3.67; paired Δ med/mean -2/-2 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 369/341; C 239/255.67; paired Δ med/mean -72/-85.33 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 340/317.33; C 225/239.33; paired Δ med/mean -61/-78 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 325/303.33; C 211/226.33; paired Δ med/mean -52/-77 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 134/150; C 94/102.33; paired Δ med/mean -40/-47.67 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 134/150; C 94/102.33; paired Δ med/mean -40/-47.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 134/150; C 94/102.33; paired Δ med/mean -40/-47.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 134/150; C 94/102.33; paired Δ med/mean -40/-47.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 68/66.33; C 54/51.33; paired Δ med/mean -14/-15 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 842/855; C 673/654.67; paired Δ med/mean -169/-200.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 842/855; C 673/654.67; paired Δ med/mean -169/-200.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 842/855; C 673/654.67; paired Δ med/mean -169/-200.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 118/134.33; C 78/81.33; paired Δ med/mean -46/-53 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 92/101; C 54/56.33; paired Δ med/mean -49/-44.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 35/33.33; C 24/25; paired Δ med/mean -13/-8.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 3/3.67; C 2/2; paired Δ med/mean -3/-1.67 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/33.67; C 12/8; paired Δ med/mean -24/-25.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 3/3.33; C 2/2; paired Δ med/mean -3/-1.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 116/130.67; C 76/79.33; paired Δ med/mean -43/-51.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 693/663; C 526/499.33; paired Δ med/mean -170/-163.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 89/97.67; C 52/54.33; paired Δ med/mean -46/-43.33 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 35/33; C 24/25; paired Δ med/mean -13/-8 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 6/4.67; C 5/4.67; paired Δ med/mean -1/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 13/14; C 7/7.33; paired Δ med/mean -6/-6.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 5/4.67; C 4/5; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExertNoResponses: B med/mean 4/3.67; C 3/4.67; paired Δ med/mean +1/+1 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0.67; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 2/1.67; C 2/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 16/18.67; C 8/9.67; paired Δ med/mean -10/-9 (3 pairs)
  hypothesisExposeAttempts: B med/mean 11/11; C 14/16; paired Δ med/mean +3/+5 (3 pairs)
