Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7e-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 10/11; C 8/8; paired Δ med/mean -3/-3 (3 pairs)
  projectSearchCampaigns: B med/mean 15/10.67; C 4/4; paired Δ med/mean -10/-6.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 14/10; C 3/3.33; paired Δ med/mean -10/-6.67 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 1/3.67; C 1/1.33; paired Δ med/mean 0/-2.33 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignClosed: B med/mean 6/6.33; C 3/2.67; paired Δ med/mean -3/-3.67 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 98/70.67; C 10/62; paired Δ med/mean +4/-8.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 41/33.67; C 9/25.67; paired Δ med/mean +1/-8 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 208/193.67; C 85/131; paired Δ med/mean -65/-62.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 199/189.33; C 85/127.67; paired Δ med/mean -67/-61.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/2.67; C 4/2.67; paired Δ med/mean 0/0 (3 pairs)
  projectSearchEpisodes: B med/mean 98/70.67; C 10/62; paired Δ med/mean +4/-8.67 (3 pairs)
  projectDropEpisodes: B med/mean 86/94.67; C 58/57; paired Δ med/mean -39/-37.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 868/690.67; C 313/560; paired Δ med/mean +83/-130.67 (3 pairs)
  jointProjectsCompleted: B med/mean 1/0.67; C 2/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  productionProjectsCompleted: B med/mean 2/3.67; C 2/3; paired Δ med/mean 0/-0.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 12/11.67; C 5/5; paired Δ med/mean -8/-6.67 (3 pairs)
  totalStructures: B med/mean 15/15; C 8/7.33; paired Δ med/mean -9/-7.67 (3 pairs)
  completedStructures: B med/mean 3/3; C 1/1.33; paired Δ med/mean -2/-1.67 (3 pairs)
  constructionPlacements: B med/mean 20/22; C 9/9; paired Δ med/mean -13/-13 (3 pairs)
  containersBuilt: B med/mean 2/4.67; C 1/1.67; paired Δ med/mean -1/-3 (3 pairs)
  standingContainers: B med/mean 2/4.67; C 1/1.67; paired Δ med/mean -1/-3 (3 pairs)
  containerTransfers: B med/mean 4/9; C 2/3.67; paired Δ med/mean 0/-5.33 (3 pairs)
  storedUnits: B med/mean 4/7; C 2/3.67; paired Δ med/mean 0/-3.33 (3 pairs)
  movementActions: B med/mean 1884/1657; C 1122/1425.67; paired Δ med/mean +174/-231.33 (3 pairs)
  movementActionShare: B med/mean 52.97/52.52; C 41.37/45.2; paired Δ med/mean -2.7/-7.32 (3 pairs)
  spearsCrafted: B med/mean 2/2.33; C 1/0.67; paired Δ med/mean -1/-1.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/1; C 0/0; paired Δ med/mean 0/-1 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1.33; C 1/1; paired Δ med/mean 0/-0.33 (3 pairs)
  animalsHunted: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/1.33; C 1/2; paired Δ med/mean 0/+0.67 (3 pairs)
  dehydrationHibernations: B med/mean 23/23.33; C 20/17.33; paired Δ med/mean -8/-6 (3 pairs)
  assistedDependentHibernations: B med/mean 6/5.67; C 4/4; paired Δ med/mean -1/-1.67 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
