Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v8-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 452/433; C 311/272.33; paired Δ med/mean -163/-160.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 423/406.67; C 267/245.67; paired Δ med/mean -151/-161 (3 pairs)
  projectLogisticsExhausted: B med/mean 17/18.33; C 16/14.67; paired Δ med/mean -6/-3.67 (3 pairs)
  projectSearchEpisodes: B med/mean 59/78.33; C 72/62; paired Δ med/mean -21/-16.33 (3 pairs)
  projectDropEpisodes: B med/mean 325/303.33; C 188/174; paired Δ med/mean -97/-129.33 (3 pairs)
  projectLogisticsActionEvents: B med/mean 1910/1699; C 1131/981; paired Δ med/mean -812/-718 (3 pairs)
  jointProjectsCompleted: B med/mean 12/11.67; C 12/10.67; paired Δ med/mean +1/-1 (3 pairs)
  productionProjectsCompleted: B med/mean 24/26.67; C 21/18; paired Δ med/mean -16/-8.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 24/29.33; C 17/20; paired Δ med/mean -9/-9.33 (3 pairs)
  totalStructures: B med/mean 13/13.33; C 13/11.33; paired Δ med/mean 0/-2 (3 pairs)
  completedStructures: B med/mean 3/3.67; C 1/2; paired Δ med/mean -1/-1.67 (3 pairs)
  constructionPlacements: B med/mean 35/40.67; C 27/28.67; paired Δ med/mean -10/-12 (3 pairs)
  containersBuilt: B med/mean 5/6.33; C 3/2.67; paired Δ med/mean -3/-3.67 (3 pairs)
  standingContainers: B med/mean 5/6.33; C 3/2.67; paired Δ med/mean -3/-3.67 (3 pairs)
  containerTransfers: B med/mean 191/200.33; C 17/16; paired Δ med/mean -186/-184.33 (3 pairs)
  storedUnits: B med/mean 365/340.67; C 16/23.33; paired Δ med/mean -359/-317.33 (3 pairs)
  movementActions: B med/mean 9305/9256.67; C 4307/4524; paired Δ med/mean -4901/-4732.67 (3 pairs)
  movementActionShare: B med/mean 69.34/68.61; C 58.45/58.06; paired Δ med/mean -10.89/-10.55 (3 pairs)
  spearsCrafted: B med/mean 4/5.33; C 0/1.33; paired Δ med/mean -3/-4 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 1/1.33; C 1/1.67; paired Δ med/mean 0/+0.33 (3 pairs)
  recordsCreated: B med/mean 0/0.67; C 1/4; paired Δ med/mean 0/+3.33 (3 pairs)
