Paired evolution matrix comparison
Baseline: candidate-causal-cultivation-v4 (6 runs)
Candidate: candidate-local-capability-v5 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  strategicShare: B med/mean 20.18/21.91; C 32.79/33.4; paired Δ med/mean +12.5/+11.49 (3 pairs)
  strategicIntents: B med/mean 378/320.67; C 381/398; paired Δ med/mean +86/+77.33 (3 pairs)
  socialIntents: B med/mean 998/1139.67; C 781/800.33; paired Δ med/mean -301/-339.33 (3 pairs)
  communications: B med/mean 365/421.67; C 338/329.33; paired Δ med/mean -85/-92.33 (3 pairs)
  survivalReflexActions: B med/mean 388/481; C 721/717.67; paired Δ med/mean +177/+236.67 (3 pairs)
  projectsStarted: B med/mean 28/25.67; C 28/29.67; paired Δ med/mean +5/+4 (3 pairs)
  projectsCompleted: B med/mean 11/11; C 15/16.67; paired Δ med/mean +5/+5.67 (3 pairs)
  projectsBlocked: B med/mean 14/11.67; C 11/11; paired Δ med/mean -2/-0.67 (3 pairs)
  projectPressureBasisProjects: B med/mean 28/25.67; C 28/29.67; paired Δ med/mean +5/+4 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 554/490; C 457/528.67; paired Δ med/mean +44/+38.67 (3 pairs)
  projectsWithPressureUpdates: B med/mean 24/24.33; C 28/28.67; paired Δ med/mean +4/+4.33 (3 pairs)
  projectPressureUpdates: B med/mean 526/464.33; C 431/499; paired Δ med/mean +35/+34.67 (3 pairs)
  projectPressureIncreases: B med/mean 76/80; C 52/67.67; paired Δ med/mean -14/-12.33 (3 pairs)
  projectPressureDecreases: B med/mean 94/99.67; C 74/94; paired Δ med/mean +1/-5.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 356/284.67; C 305/337.33; paired Δ med/mean +48/+52.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 7/6.33; C 5/8.33; paired Δ med/mean 0/+2 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 5/10.67; C 4/8.33; paired Δ med/mean -2/-2.33 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 12/21.67; C 26/36.33; paired Δ med/mean +7/+14.67 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 781/751.67; C 847/978.33; paired Δ med/mean +184/+226.67 (3 pairs)
  projectProgressProjects: B med/mean 25/23.33; C 27/29; paired Δ med/mean +8/+5.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 584/579.33; C 622/764.33; paired Δ med/mean +125/+185 (3 pairs)
