Paired evolution matrix comparison
Baseline: v32-founder-repro-baseline (3 runs)
Candidate: v33-founder-reproduction-long (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectLogisticsEpisodes: B med/mean 91/99; C 57/59.33; paired Δ med/mean -15/-39.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 90/96; C 56/57; paired Δ med/mean -17/-39 (3 pairs)
  projectLogisticsExhausted: B med/mean 1/1.67; C 1/1; paired Δ med/mean +1/-0.67 (3 pairs)
  projectSearchEpisodes: B med/mean 0/27.33; C 0/0.33; paired Δ med/mean 0/-27 (3 pairs)
  projectDropEpisodes: B med/mean 71/68; C 56/56.67; paired Δ med/mean -13/-11.33 (3 pairs)
  projectLogisticsActionEvents: B med/mean 264/385.33; C 179/190; paired Δ med/mean -34/-195.33 (3 pairs)
  jointProjectsCompleted: B med/mean 3/3; C 2/1.33; paired Δ med/mean -1/-1.67 (3 pairs)
  productionProjectsCompleted: B med/mean 1/2; C 3/2.33; paired Δ med/mean +2/+0.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 9/9.33; C 7/6.67; paired Δ med/mean -1/-2.67 (3 pairs)
  totalStructures: B med/mean 13/16.67; C 13/12.67; paired Δ med/mean -2/-4 (3 pairs)
  completedStructures: B med/mean 4/5.33; C 5/4.33; paired Δ med/mean -2/-1 (3 pairs)
  constructionPlacements: B med/mean 19/22.67; C 20/19; paired Δ med/mean -2/-3.67 (3 pairs)
  containersBuilt: B med/mean 3/2.67; C 0/0.33; paired Δ med/mean -2/-2.33 (3 pairs)
  standingContainers: B med/mean 2/2; C 0/0.33; paired Δ med/mean -2/-1.67 (3 pairs)
  containerTransfers: B med/mean 60/60.67; C 0/19; paired Δ med/mean -60/-41.67 (3 pairs)
  storedUnits: B med/mean 24/27; C 0/8; paired Δ med/mean -23/-19 (3 pairs)
  movementActions: B med/mean 2372/2507.67; C 2241/2403.67; paired Δ med/mean -131/-104 (3 pairs)
  movementActionShare: B med/mean 73.41/72.5; C 72.7/73.43; paired Δ med/mean -0.71/+0.93 (3 pairs)
  spearsCrafted: B med/mean 3/2.67; C 5/3.33; paired Δ med/mean +2/+0.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  recordsCreated: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  functionalInstitutions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalsHunted: B med/mean 2/2.67; C 3/2.67; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  predictionAccuracy: B med/mean 34.38/28.96; C 30.3/25.63; paired Δ med/mean +1.1/-3.33 (3 pairs)
  dehydrationHibernations: B med/mean 41/40.67; C 42/38.67; paired Δ med/mean +3/-2 (3 pairs)
  assistedDependentHibernations: B med/mean 8/5.33; C 6/7; paired Δ med/mean +3/+1.67 (3 pairs)
  throughMonth: B med/mean 240/240; C 240/240; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 4/6; C 10/7.33; paired Δ med/mean 0/+1.33 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
