Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v2-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  searchCampaignAttemptedTargets: B med/mean 59/78.33; C 51/52.67; paired Δ med/mean -15/-25.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 4/4.33; C 4/3.67; paired Δ med/mean -1/-0.67 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 452/433; C 219/258; paired Δ med/mean -156/-175 (3 pairs)
  projectLogisticsFulfilled: B med/mean 423/406.67; C 207/243.67; paired Δ med/mean -143/-163 (3 pairs)
  projectLogisticsExhausted: B med/mean 17/18.33; C 12/12.67; paired Δ med/mean -5/-5.67 (3 pairs)
  projectSearchEpisodes: B med/mean 59/78.33; C 51/52.67; paired Δ med/mean -15/-25.67 (3 pairs)
  projectDropEpisodes: B med/mean 325/303.33; C 145/173.33; paired Δ med/mean -108/-130 (3 pairs)
  projectLogisticsActionEvents: B med/mean 1910/1699; C 905/1052; paired Δ med/mean -631/-647 (3 pairs)
  jointProjectsCompleted: B med/mean 12/11.67; C 4/4.33; paired Δ med/mean -7/-7.33 (3 pairs)
  productionProjectsCompleted: B med/mean 24/26.67; C 16/15; paired Δ med/mean -16/-11.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 24/29.33; C 21/19.67; paired Δ med/mean -3/-9.67 (3 pairs)
  totalStructures: B med/mean 13/13.33; C 11/12; paired Δ med/mean -2/-1.33 (3 pairs)
  completedStructures: B med/mean 3/3.67; C 3/3; paired Δ med/mean -1/-0.67 (3 pairs)
  constructionPlacements: B med/mean 35/40.67; C 30/29; paired Δ med/mean -4/-11.67 (3 pairs)
  containersBuilt: B med/mean 5/6.33; C 6/5.33; paired Δ med/mean +1/-1 (3 pairs)
  standingContainers: B med/mean 5/6.33; C 6/5.33; paired Δ med/mean +1/-1 (3 pairs)
  containerTransfers: B med/mean 191/200.33; C 156/150.67; paired Δ med/mean -30/-49.67 (3 pairs)
  storedUnits: B med/mean 365/340.67; C 290/289.67; paired Δ med/mean -75/-51 (3 pairs)
  movementActions: B med/mean 9305/9256.67; C 6651/6395; paired Δ med/mean -3648/-2861.67 (3 pairs)
  movementActionShare: B med/mean 69.34/68.61; C 65.73/66.43; paired Δ med/mean +0.97/-2.18 (3 pairs)
  spearsCrafted: B med/mean 4/5.33; C 4/3; paired Δ med/mean 0/-2.33 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 1/1.33; C 1/1; paired Δ med/mean 0/-0.33 (3 pairs)
  recordsCreated: B med/mean 0/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  functionalInstitutions: B med/mean 13/17.67; C 11/9.67; paired Δ med/mean -2/-8 (3 pairs)
  animalsHunted: B med/mean 1/1.33; C 2/2.67; paired Δ med/mean +1/+1.33 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  predictionAccuracy: B med/mean 27.78/27.04; C 22.73/25.84; paired Δ med/mean 0/-1.2 (3 pairs)
  dehydrationHibernations: B med/mean 107/103.67; C 76/79.33; paired Δ med/mean -31/-24.33 (3 pairs)
  assistedDependentHibernations: B med/mean 32/32; C 24/23.33; paired Δ med/mean -8/-8.67 (3 pairs)
  throughMonth: B med/mean 360/360; C 360/360; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 5/5.67; C 5/4.67; paired Δ med/mean -1/-1 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 369/341; C 175/201; paired Δ med/mean -106/-140 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 340/317.33; C 162/188.33; paired Δ med/mean -102/-129 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 325/303.33; C 145/173.33; paired Δ med/mean -108/-130 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 134/150; C 75/77.67; paired Δ med/mean -61/-72.33 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 134/150; C 75/77.67; paired Δ med/mean -61/-72.33 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 134/150; C 75/77.67; paired Δ med/mean -61/-72.33 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 134/150; C 75/77.67; paired Δ med/mean -61/-72.33 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 68/66.33; C 37/35.33; paired Δ med/mean -30/-31 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 842/855; C 459/479; paired Δ med/mean -383/-376 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
