Paired evolution matrix comparison
Baseline: baseline-shared-living-v1-20260821 (3 runs)
Candidate: candidate-shared-living-v4-20260821 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  survivalReflexActions: B med/mean 610/653.33; C 866/778; paired Δ med/mean +256/+124.67 (3 pairs)
  projectsStarted: B med/mean 11/16.33; C 34/34; paired Δ med/mean +18/+17.67 (3 pairs)
  projectsCompleted: B med/mean 7/10; C 20/19.33; paired Δ med/mean +8/+9.33 (3 pairs)
  projectsBlocked: B med/mean 3/4.33; C 10/10.67; paired Δ med/mean +6/+6.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 11/16.33; C 34/34; paired Δ med/mean +18/+17.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 156/181.67; C 504/489.67; paired Δ med/mean +340/+308 (3 pairs)
  projectsWithPressureUpdates: B med/mean 9/14; C 31/30.33; paired Δ med/mean +19/+16.33 (3 pairs)
  projectPressureUpdates: B med/mean 147/165.33; C 465/455.67; paired Δ med/mean +318/+290.33 (3 pairs)
  projectPressureIncreases: B med/mean 25/20.33; C 74/70.67; paired Δ med/mean +46/+50.33 (3 pairs)
  projectPressureDecreases: B med/mean 26/33; C 100/100; paired Δ med/mean +56/+67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 96/112; C 309/285; paired Δ med/mean +147/+173 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 0/1.67; C 5/7.67; paired Δ med/mean 0/+6 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
