Paired evolution matrix comparison
Baseline: granary-controlled-baseline-v3-20260820 (3 runs)
Candidate: granary-controlled-candidate-v4-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectLogisticsFulfilled: B med/mean 110/136.33; C 107/105.67; paired Δ med/mean 0/-30.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 1/0.67; C 1/1.33; paired Δ med/mean 0/+0.67 (3 pairs)
  projectSearchEpisodes: B med/mean 10/10.33; C 13/11; paired Δ med/mean 0/+0.67 (3 pairs)
  projectDropEpisodes: B med/mean 80/99; C 74/76.67; paired Δ med/mean -5/-22.33 (3 pairs)
  projectLogisticsActionEvents: B med/mean 432/451.33; C 396/366; paired Δ med/mean -1/-85.33 (3 pairs)
  jointProjectsCompleted: B med/mean 1/1.67; C 1/0.67; paired Δ med/mean 0/-1 (3 pairs)
  productionProjectsCompleted: B med/mean 6/6; C 6/6.33; paired Δ med/mean 0/+0.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 9/7.67; C 7/6.33; paired Δ med/mean -1/-1.33 (3 pairs)
  totalStructures: B med/mean 6/6.33; C 4/5; paired Δ med/mean 0/-1.33 (3 pairs)
  completedStructures: B med/mean 3/2.33; C 1/1.67; paired Δ med/mean 0/-0.67 (3 pairs)
  constructionPlacements: B med/mean 16/13.33; C 9/11; paired Δ med/mean 0/-2.33 (3 pairs)
  containersBuilt: B med/mean 2/1.67; C 1/1; paired Δ med/mean 0/-0.67 (3 pairs)
  standingContainers: B med/mean 2/1.67; C 1/1; paired Δ med/mean 0/-0.67 (3 pairs)
  containerTransfers: B med/mean 4/5; C 3/2.67; paired Δ med/mean 0/-2.33 (3 pairs)
  storedUnits: B med/mean 4/4.33; C 1/0.67; paired Δ med/mean -3/-3.67 (3 pairs)
  movementActions: B med/mean 1248/1282.67; C 1338/1157; paired Δ med/mean -32/-125.67 (3 pairs)
  movementActionShare: B med/mean 40.9/41.71; C 41.59/38.41; paired Δ med/mean -0.67/-3.3 (3 pairs)
  spearsCrafted: B med/mean 2/1.67; C 0/0; paired Δ med/mean -2/-1.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
