Paired evolution matrix comparison
Baseline: review10-baseline-7a50b51-20260820 (9 runs)
Candidate: review10-v1-intent-recovery-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 6/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 24.53/25.42; C 23.35/24.91; paired Δ med/mean 0/-0.51 (3 pairs)
  strategicIntents: B med/mean 269/265.67; C 252/255.67; paired Δ med/mean 0/-10 (3 pairs)
  socialIntents: B med/mean 827/785; C 824/776.67; paired Δ med/mean 0/-8.33 (3 pairs)
  communications: B med/mean 353/353.33; C 353/354.67; paired Δ med/mean 0/+1.33 (3 pairs)
  survivalReflexActions: B med/mean 520/530.33; C 520/534.67; paired Δ med/mean 0/+4.33 (3 pairs)
  projectsStarted: B med/mean 27/25; C 29/25.67; paired Δ med/mean 0/+0.67 (3 pairs)
  projectsCompleted: B med/mean 14/15.33; C 17/16.33; paired Δ med/mean 0/+1 (3 pairs)
  projectsBlocked: B med/mean 8/8.33; C 8/8.33; paired Δ med/mean 0/0 (3 pairs)
  projectPressureBasisProjects: B med/mean 27/25; C 29/25.67; paired Δ med/mean 0/+0.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 405/405.33; C 405/402.33; paired Δ med/mean 0/-3 (3 pairs)
  projectsWithPressureUpdates: B med/mean 26/24.33; C 28/25; paired Δ med/mean 0/+0.67 (3 pairs)
  projectPressureUpdates: B med/mean 373/380.33; C 373/376.67; paired Δ med/mean 0/-3.67 (3 pairs)
  projectPressureIncreases: B med/mean 62/56.67; C 62/56; paired Δ med/mean 0/-0.67 (3 pairs)
  projectPressureDecreases: B med/mean 89/75.67; C 89/77; paired Δ med/mean 0/+1.33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 222/248; C 222/243.67; paired Δ med/mean 0/-4.33 (3 pairs)
